date,day_code,day_desc,week,phase,weekly_mileage,runs_per_week,distance,run_type,run_desc,run_name,pace,dist_km
2023-12-25,0,Mon,1,base,18.0,4,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2023-12-26,1,Tues,1,base,18.0,4,2.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,4.18
2023-12-27,2,Wed,1,base,18.0,4,6.75,workout,1 mile warm up followd by 12 reps of 400m with 60 seconds easy jogging in between reps. Finish with 1 mile cool down,12 x 400,4:14/km,10.86
2023-12-28,3,Thurs,1,base,18.0,4,2.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,4.18
2023-12-29,4,Fri,1,base,18.0,4,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2023-12-30,5,Sat,1,base,18.0,4,6.0,long_run,"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance",Long Run,5:08/km,9.66
2023-12-31,6,Sun,1,base,18.0,4,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-01,0,Mon,2,base,30.0,5,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-02,1,Tues,2,base,30.0,5,4.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,7.72
2024-01-03,2,Wed,2,base,30.0,5,5.75,workout,1 mile warm up followd by 6 reps of 800m with 90 seconds easy jogging in between reps. Finish with 1 mile cool down,6 x 800m,4:14/km,9.25
2024-01-04,3,Thurs,2,base,30.0,5,4.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,7.72
2024-01-05,4,Fri,2,base,30.0,5,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-06,5,Sat,2,base,30.0,5,10.0,long_run,"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance",Long Run,5:08/km,16.09
