date,day_desc,week,phase,distance,run_type,run_name,pace,run_desc
2024-01-22,Mon,1,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-01-23,Tues,1,base,1.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-01-24,Wed,1,base,1.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-01-25,Thurs,1,base,1.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-01-26,Fri,1,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-01-27,Sat,1,base,2.5,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-01-28,Sun,1,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-01-29,Mon,2,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-01-30,Tues,2,base,2.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-01-31,Wed,2,base,2.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-01,Thurs,2,base,2.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-02,Fri,2,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-03,Sat,2,base,4.2,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-02-04,Sun,2,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-05,Mon,3,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-06,Tues,3,base,3.9,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-07,Wed,3,base,3.9,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-08,Thurs,3,base,3.9,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-09,Fri,3,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-10,Sat,3,base,5.8,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-02-11,Sun,3,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-12,Mon,4,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-13,Tues,4,base,3.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-14,Wed,4,base,3.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-15,Thurs,4,base,3.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-16,Fri,4,base,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-17,Sat,4,base,7.5,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-02-18,Sun,4,base,3.8,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-19,Mon,5,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-20,Tues,5,peak,4.0,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-21,Wed,5,peak,4.2,workout,3 x 1k,10'00'' - 10'20'',1 mile warm-up followed by 3 reps of 1k with 2 minutes easy jogging in between reps. Finish with 1 mile cool down.
2024-02-22,Thurs,5,peak,4.0,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-23,Fri,5,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-24,Sat,5,peak,6.4,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-02-25,Sun,5,peak,4.0,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-26,Mon,6,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-02-27,Tues,6,peak,3.6,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-02-28,Wed,6,peak,5.0,workout,"3 x 800, 3 x 400",10'00'' - 10'20'',1 mile warm-up followd by 3 reps of 800m with 2 minutes easy jogging in between. Then 3 reps of 400m with 90 seconds easy jogging in between. Finish with 1 mile cool down.
2024-02-29,Thurs,6,peak,3.6,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-01,Fri,6,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-02,Sat,6,peak,6.6,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-03-03,Sun,6,peak,3.6,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-04,Mon,7,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-05,Tues,7,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-06,Wed,7,peak,5.5,workout,Mile Cutdown,10'00'' - 10'20'',"1 mile warm-up followed by 1 rep of 1 mile with 90 second jog rest, 2 reps of 800m with 60 sec jog rest after each, 4 reps of 400m with 45 second jog rest after each. Finish with 1 mile cool down"
2024-03-07,Thurs,7,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-08,Fri,7,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-09,Sat,7,peak,6.8,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-03-10,Sun,7,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-11,Mon,8,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-12,Tues,8,peak,3.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-13,Wed,8,peak,4.2,workout,3 x 1k,10'00'' - 10'20'',1 mile warm-up followed by 3 reps of 1k with 2 minutes easy jogging in between reps. Finish with 1 mile cool down.
2024-03-14,Thurs,8,peak,3.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-15,Fri,8,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-16,Sat,8,peak,7.1,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-03-17,Sun,8,peak,3.7,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-18,Mon,9,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-19,Tues,9,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-20,Wed,9,peak,5.0,workout,"3 x 800, 3 x 400",10'00'' - 10'20'',1 mile warm-up followd by 3 reps of 800m with 2 minutes easy jogging in between. Then 3 reps of 400m with 90 seconds easy jogging in between. Finish with 1 mile cool down.
2024-03-21,Thurs,9,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-22,Fri,9,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-23,Sat,9,peak,7.3,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-03-24,Sun,9,peak,3.4,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-25,Mon,10,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-26,Tues,10,peak,3.2,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-27,Wed,10,peak,5.5,workout,Mile Cutdown,10'00'' - 10'20'',"1 mile warm-up followed by 1 rep of 1 mile with 90 second jog rest, 2 reps of 800m with 60 sec jog rest after each, 4 reps of 400m with 45 second jog rest after each. Finish with 1 mile cool down"
2024-03-28,Thurs,10,peak,3.2,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-03-29,Fri,10,peak,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-03-30,Sat,10,peak,7.5,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-03-31,Sun,10,peak,3.2,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-04-01,Mon,11,taper,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-04-02,Tues,11,taper,3.3,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-04-03,Wed,11,taper,4.0,workout,5 x 1 minute hill sprints,10'00'' - 10'20'',1.5 mile warm up followed by 5  reps of approximately 60 second hill sprints. Finish with 1.5 mile cool down
2024-04-04,Thurs,11,taper,3.3,easy,Easy Day,15'52'',This run should be easy enough that you could carry on a conversation throughout the run.
2024-04-05,Fri,11,taper,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-04-06,Sat,11,taper,5.2,long_run,Long Run,15'52'',"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance"
2024-04-07,Sun,11,taper,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
2024-04-08,Mon,12,taper,0.0,rest,Rest Day,-,This is a rest day. Prioritize relaxation and recovery.
